# model=heuristic triples=9188 ents=523 rels=32
# metrics={'mrr': 0.0, 'hits_at_1': 0.0, 'hits_at_5': 0.0, 'hits_at_10': 0.0}
subject	predicate	object	score
chemical_7	INHIBITS	lipid peroxidation	0.5757348888136152
phenotype_87	AFFECTS	phenotype_45	0.49502415268223765
chemical_64	INHIBITS	phenotype_65	0.4904889871742709
gene_34	AFFECTS	gene_54	0.5146962838297787
neuropathy	CAUSES	phenotype_77	0.6756912992451991
disease_22	AFFECTS	phenotype_63	0.5933848084199426
disease_59	ASSOCIATED_WITH	phosphorylation	0.48781697860048984
chemical_67	REGULATES	gene_55	0.5268115063070357
chemical_73	REGULATES	SNCA	0.4612377358152325
testosterone	REGULATES	GSTP1	0.592385276798839
metaplasia	CO_OCCURRED_WITH	phenotype_90	0.6663056047267529
metoprolol	PREVENTS	disease_60	0.4901296966198481
gene_69	AFFECTS	apoptosis	0.5933848084199427
phenotype_13	CO_OCCURRED_WITH	phenotype_78	0.6138465883333103
chemical_37	STIMULATES	LRRK2	0.525249383190162
sarcoma	AFFECTS	PIK3CA	0.6786307100592869
CD4	STIMULATES	phenotype_60	0.584265776632785
chemical_51	TREATS	disease_57	0.581289194537286
chemical_40	TREATS	embolism	0.41735476830777773
chemical_0	PREVENTS	fibrosis	0.6868510080952581
chemical_34	REGULATES	gene_68	0.533368883356216
atorvastatin	TREATS	gastritis	0.4960432928979417
disease_24	CAUSES	neurogenesis	0.5183142500648712
phenotype_89	AFFECTS	inflammation	0.6524012018625657
chemical_10	STIMULATES	phenotype_83	0.5580362684360637
gene_67	AFFECTS	IFNG	0.4950241526822377
disease_22	AFFECTS	phenotype_33	0.5933848084199426
estrogen	INHIBITS	phenotype_9	0.5363906265185332
disease_49	ASSOCIATED_WITH	calcification	0.45503009335458816
disease_36	ASSOCIATED_WITH	phenotype_46	0.4615874704037685
neuropathy	ASSOCIATED_WITH	phenotype_68	0.5796202572890143
chemical_27	PREVENTS	disease_5	0.4114411720296842
BRCA1	REGULATES	metaplasia	0.6448442931922815
gene_48	AFFECTS	phenotype_59	0.6589585789117459
MMP9	INTERACTS_WITH	gene_28	0.6157535499450785
simvastatin	PREVENTS	disease_30	0.48357231957066776
neuropathy	CAUSES	hyperplasia	0.6101175287533959
chemical_64	REGULATES	gene_35	0.5136967522086751
NRF2	STIMULATES	phenotype_89	0.5711510225344243
phenotype_88	CO_OCCURRED_WITH	phenotype_8	0.5548301948906873
chemical_4	PRODUCES	IL6	0.534539078912707
disease_79	AFFECTS	erythropoiesis	0.5474831690756804
chemical_61	INHIBITS	phenotype_67	0.5167184953709922
gene_43	AFFECTS	phenotype_16	0.501581529731418
chemical_27	INHIBITS	phenotype_27	0.48393161012509067
chemical_31	STIMULATES	gene_83	0.505577252042621
TNF	STIMULATES	alkalosis	0.544921514337703
gene_41	STIMULATES	phenotype_63	0.6104952848295062
disease_4	CAUSES	phenotype_11	0.4986421189173302
gene_76	AFFECTS	phenotype_83	0.6524012018625657
chemical_78	CAUSES	aneurysm	0.47241261072060886
phenotype_47	AFFECTS	phenotype_80	0.5409257920265
disease_36	AFFECTS	phenotype_42	0.49502415268223765
disease_13	CAUSES	phenotype_46	0.49864211891733023
embolism	ASSOCIATED_WITH	gene_25	0.4615874704037685
gene_50	STIMULATES	phenotype_4	0.6498395471245884
gene_1	INTERACTS_WITH	PIK3CA	0.707556828633603
TP53	REGULATES	phenotype_31	0.6317295390939209
disease_87	AFFECTS	gene_14	0.521253660878959
phenotype_39	AFFECTS	phenotype_17	0.5212536608789591
glutamate	TREATS	disease_55	0.5091580469963023
catechin	AFFECTS	phenotype_75	0.5081389067805984
disease_83	ASSOCIATED_WITH	phenotype_90	0.4353579622070472
chemical_42	AFFECTS	phenotype_85	0.44912251333797537
chemical_38	PRODUCES	GSTP1	0.5607685871094285
chemical_7	PREVENTS	migraine	0.4245559261280449
PIK3CA	INTERACTS_WITH	TNF	0.6813273204368817
glioma	CAUSES	phenotype_47	0.4855273648189696
sclerosis	ASSOCIATED_WITH	phenotype_41	0.5402759949939324
chemical_8	PRODUCES	gene_36	0.5607685871094285
chemical_28	AFFECTS	phenotype_32	0.4360077592396147
gene_66	REGULATES	erythropoiesis	0.6448442931922815
tamoxifen	TREATS	disease_30	0.48948591584876133
sclerosis	AFFECTS	phenotype_14	0.599942185469123
gene_35	AFFECTS	phenotype_31	0.619614316616664
chemical_17	PRODUCES	Parkin	0.5476538330110677
chemical_41	PRODUCES	gene_67	0.4558505543225432
caffeine	CAUSES	disease_80	0.4396257254747073
neuropathy	ASSOCIATED_WITH	phenotype_60	0.5337186179447521
disease_69	ASSOCIATED_WITH	gene_54	0.4484727163054078
phenotype_53	AFFECTS	phenotype_41	0.6064995625183033
curcumin	AFFECTS	phenotype_81	0.4097782510428934
catechin	TREATS	disease_79	0.4960432928979417
phenotype_41	AFFECTS	phenotype_81	0.5409257920265
chemical_12	AFFECTS	myogenesis	0.46879464448551633
chemical_48	PRODUCES	gene_54	0.4689653084209038
gene_37	REGULATES	phenotype_78	0.5792705227004783
psoriasis	ASSOCIATED_WITH	phenotype_83	0.6451940277808176
gene_76	AFFECTS	phenotype_80	0.560597923174041
chemical_44	STIMULATES	GPX1	0.564593645485244
disease_63	AFFECTS	AKT1	0.4097782510428934
disease_37	AFFECTS	gene_72	0.48846677563305735
gene_15	AFFECTS	gene_16	0.599942185469123
chemical_78	TREATS	disease_58	0.482928538799581
gene_7	REGULATES	phenotype_72	0.5661557686021176
gene_14	STIMULATES	phenotype_6	0.544921514337703
disease_84	AFFECTS	PIK3CA	0.5409257920265
STAT3	AFFECTS	phenotype_75	0.5540405461248606
chemical_58	STIMULATES	CXCL8	0.466232989747539
disease_57	AFFECTS	gene_37	0.5802700543215821
sarcoma	ASSOCIATED_WITH	phenotype_17	0.5927350113873749
thrombosis	CAUSES	phenotype_0	0.5314290041632319
chemical_54	PRODUCES	gene_68	0.4820800625192644
chemical_36	AFFECTS	phenotype_38	0.560597923174041
chemical_66	PRODUCES	gene_42	0.5410964559618875
disease_90	ASSOCIATED_WITH	phenotype_65	0.44847271630540786
insulin	STIMULATES	gene_48	0.5318067602393424
diabetes	ASSOCIATED_WITH	phenotype_53	0.5796202572890143
caffeine	REGULATES	gene_14	0.48746724401195374
gene_35	INTERACTS_WITH	gene_51	0.5960814187975374
gene_65	AFFECTS	gene_8	0.5737126772724017
chemical_76	TREATS	Raynaud disease	0.44358427650449905
gene_46	REGULATES	gene_60	0.4743524899135931
lisinopril	PRODUCES	HMOX1	0.5279817018635268
Alzheimer disease	AFFECTS	GSTP1	0.5933848084199427
HMOX1	REGULATES	CD4	0.6251721620447406
gene_70	AFFECTS	gene_62	0.6261716936658442
chemical_71	PREVENTS	disease_90	0.4770149425214875
phenotype_60	CO_OCCURRED_WITH	phenotype_52	0.4892564243988841
chemical_63	CAUSES	hypertension	0.43306834842552694
phenotype_22	AFFECTS	phenotype_90	0.5933848084199426
gene_47	REGULATES	TP53	0.5399262604053964
phenotype_56	AFFECTS	acidosis	0.560597923174041
Raynaud phenomenon	AFFECTS	gene_25	0.5146962838297787
glioma	AFFECTS	gene_16	0.5278110379281393
disease_39	AFFECTS	MYC	0.5671553002232214
disease_80	AFFECTS	phenotype_78	0.44912251333797537
phenotype_46	AFFECTS	phenotype_69	0.5146962838297787
chemical_29	PRODUCES	SNCA	0.42962104612582175
chemical_21	STIMULATES	VEGFA	0.466232989747539
phenotype_5	AFFECTS	ubiquitination	0.5999421854691229
disease_33	ASSOCIATED_WITH	phenotype_86	0.4747022245021291
chemical_84	PREVENTS	leukemia	0.44422805727558584
amlodipine	REGULATES	gene_25	0.4612377358152325
ibuprofen	STIMULATES	mTOR	0.584265776632785
hydrochlorothiazide	PREVENTS	disease_74	0.4507854343247662
chemical_21	PREVENTS	disease_20	0.4311133031772252
vitamin D	TREATS	disease_47	0.5288301781438433
clopidogrel	PREVENTS	disease_86	0.39832641793132356
gene_14	AFFECTS	gene_66	0.5343684149773197
chemical_8	TREATS	disease_48	0.44358427650449905
acetylcholine	PRODUCES	MYC	0.5542112100602481
phenotype_64	AFFECTS	phenotype_83	0.7442044805510902
phenotype_21	AFFECTS	phenotype_59	0.6458438248133853
phenotype_29	AFFECTS	neurodifferentiation	0.5671553002232214
disease_33	CAUSES	phenotype_76	0.4789699877697892
BRCA2	STIMULATES	dysplasia	0.505577252042621
gene_64	REGULATES	phenotype_31	0.6251721620447406
chemical_23	REGULATES	NFKB1	0.5858278997496587
gene_72	AFFECTS	gene_15	0.560597923174041
chemical_41	STIMULATES	phenotype_8	0.505577252042621
asthma	ASSOCIATED_WITH	DNA damage	0.6124071425349159
NFKB1	AFFECTS	MAPK1	0.5933848084199427
phenotype_51	AFFECTS	phenotype_18	0.5540405461248606
chemical_4	PRODUCES	TP53	0.5148669477651661
sepsis	ASSOCIATED_WITH	gene_9	0.4878169786004898
glioma	AFFECTS	NRF2	0.47535202153469674
glutamate	PREVENTS	disease_7	0.4179985490788645
chemical_74	STIMULATES	IL10	0.505577252042621
phenotype_32	AFFECTS	phenotype_71	0.5081389067805984
trastuzumab	REGULATES	IL1B	0.5136967522086751
disease_57	CAUSES	phenotype_61	0.6756912992451992
disease_26	ASSOCIATED_WITH	phenotype_29	0.5271612408955718
DNA damage	CO_OCCURRED_WITH	phenotype_87	0.6204039653824907
SOD2	REGULATES	gene_79	0.671073801389003
chemical_65	CAUSES	disease_15	0.40028146317962526
disease_73	ASSOCIATED_WITH	gene_20	0.6451940277808176
anemia	AFFECTS	protein misfolding	0.4753520215346967
chemical_69	REGULATES	INS	0.5399262604053964
fish oil	CAUSES	migraine	0.4658552336714286
gene_22	AFFECTS	APP	0.6327290707150246
gene_54	STIMULATES	vasoconstriction	0.5514788913868833
phenotype_84	AFFECTS	phenotype_73	0.5802700543215821
disease_17	AFFECTS	IL6	0.521253660878959
leukopoiesis	AFFECTS	phenotype_53	0.6064995625183033
chemical_57	STIMULATES	PTEN	0.4400034815508177
disease_53	ASSOCIATED_WITH	gene_41	0.5140464867972111
phenotype_36	CO_OCCURRED_WITH	phenotype_13	0.6794203588251136
disease_58	CAUSES	phenotype_10	0.5970027746550352
AKT1	INTERACTS_WITH	gene_45	0.5632945335516357
disease_72	ASSOCIATED_WITH	gene_2	0.5074891097480307
disease_9	AFFECTS	apoptosis	0.599942185469123
chemical_80	INHIBITS	phenotype_61	0.6413086593054185
chemical_82	PRODUCES	gene_69	0.4361784231750022
disease_46	CAUSES	acetylation	0.45929785662224826
disease_63	ASSOCIATED_WITH	erythropoiesis	0.5140464867972111
phenotype_0	CO_OCCURRED_WITH	phenotype_21	0.5941744571857693
Raynaud phenomenon	AFFECTS	phenotype_87	0.5278110379281393
disease_80	ASSOCIATED_WITH	methylation	0.5271612408955717
ibuprofen	CAUSES	disease_4	0.4855273648189696
disease_38	CAUSES	dysplasia	0.4986421189173302
metformin	TREATS	neuropathy	0.5550596863405646
phenotype_18	CO_OCCURRED_WITH	lipid peroxidation	0.6728629817759333
gene_40	INTERACTS_WITH	gene_56	0.6682125663385211
Raynaud disease	ASSOCIATED_WITH	gene_36	0.5206038638463915
disease_4	ASSOCIATED_WITH	phenotype_47	0.46814484745294876
disease_30	AFFECTS	GSTP1	0.5540405461248606
chemical_49	PREVENTS	disease_2	0.5098018277673891
vitamin E	INHIBITS	osteoblastogenesis	0.6216365281578775
PSEN2	INTERACTS_WITH	INS	0.7403437138795046
hypertension	ASSOCIATED_WITH	TNF	0.5009317326988504
disease_32	AFFECTS	gene_60	0.46879464448551633
chemical_7	CAUSES	Raynaud phenomenon	0.4920847418681499
chemical_70	PRODUCES	gene_59	0.5673259641586087
vitamin C	CAUSES	disease_6	0.4002814631796253
hyperplasia	AFFECTS	phenotype_39	0.5737126772724016
TNF	REGULATES	gene_14	0.5661557686021177
carcinoma	ASSOCIATED_WITH	gene_46	0.45503009335458816
phenotype_15	CO_OCCURRED_WITH	phenotype_32	0.5417154407923267
glutamate	AFFECTS	phenotype_0	0.501581529731418
phenotype_89	CO_OCCURRED_WITH	phenotype_7	0.666305604726753
fibrosis	CAUSES	phenotype_55	0.7281503156386417
chemical_66	STIMULATES	phenotype_26	0.44656085859999806
methylation	CO_OCCURRED_WITH	ischemia	0.6007318342349497
tamoxifen	PREVENTS	arthritis	0.41144117202968417
anemia	AFFECTS	gene_14	0.48846677563305735
gene_61	STIMULATES	phenotype_12	0.6104952848295062
gene_12	REGULATES	acidosis	0.5727131456512979
dopamine	AFFECTS	phenotype_22	0.5409257920264999
gene_5	REGULATES	gene_50	0.5989426538480194
disease_80	ASSOCIATED_WITH	gene_78	0.5271612408955717
MGST1	AFFECTS	gene_9	0.5343684149773197
phenotype_7	AFFECTS	phenotype_61	0.73764710350191
chemical_72	CAUSES	disease_9	0.511756873015691
gene_23	REGULATES	phenotype_13	0.5727131456512979
vitamin D	PREVENTS	lupus	0.4770149425214875
glutamate	PREVENTS	disease_79	0.4507854343247662
Parkin	REGULATES	gene_41	0.6120574079463799
tamoxifen	STIMULATES	Parkin	0.5711510225344243
quercetin	AFFECTS	phenotype_67	0.481909398583877
phenotype_17	AFFECTS	phenotype_83	0.619614316616664
ibuprofen	STIMULATES	gene_63	0.584265776632785
chemical_18	STIMULATES	phenotype_45	0.466232989747539
epilepsy	AFFECTS	phenotype_82	0.5409257920265
disease_68	CAUSES	phenotype_62	0.41995359432716634
disease_75	ASSOCIATED_WITH	gene_80	0.5009317326988504
depression	ASSOCIATED_WITH	gene_58	0.5206038638463915
chemical_46	TREATS	disease_35	0.46981378470122037
Alzheimer disease	AFFECTS	gene_76	0.560597923174041
chemical_72	PREVENTS	cancer	0.48357231957066776
adipogenesis	CO_OCCURRED_WITH	phenotype_65	0.6007318342349497
gene_72	STIMULATES	vasoconstriction	0.5711510225344243
disease_58	ASSOCIATED_WITH	gene_39	0.5140464867972111
chemical_64	STIMULATES	gene_23	0.4596756126983587
curcumin	AFFECTS	phenotype_47	0.4360077592396147
disease_53	ASSOCIATED_WITH	ubiquitination	0.5599481261414733
gene_47	AFFECTS	gene_73	0.5146962838297787
disease_53	ASSOCIATED_WITH	phenotype_55	0.5468333720431127
disease_12	AFFECTS	NQO1	0.5278110379281393
acetylcholine	AFFECTS	phenotype_84	0.5081389067805984
chemical_12	STIMULATES	phenotype_44	0.5580362684360637
chemical_83	REGULATES	gene_62	0.5727131456512979
psoriasis	CAUSES	phenotype_57	0.6101175287533959
phenotype_86	CO_OCCURRED_WITH	phenotype_90	0.567944948989048
phenotype_36	AFFECTS	phenotype_77	0.6786307100592869
disease_8	ASSOCIATED_WITH	gene_71	0.4812596015513095
disease_60	AFFECTS	SOD2	0.580270054321582
neuropathy	AFFECTS	SNCA	0.4950241526822376
thrombosis	ASSOCIATED_WITH	gene_81	0.5337186179447521
omega-3	STIMULATES	phenotype_37	0.4072165963049161
chemical_76	PREVENTS	disease_48	0.4507854343247662
insulin resistance	CO_OCCURRED_WITH	phenotype_36	0.60728921128413
Parkinson disease	AFFECTS	gene_13	0.49502415268223765
gene_41	INTERACTS_WITH	gene_37	0.6026387958467178
phenotype_79	CO_OCCURRED_WITH	phenotype_39	0.548272817841507
methotrexate	PRODUCES	gene_20	0.632899734650412
phenotype_57	CO_OCCURRED_WITH	phenotype_35	0.6400760965300316
chemical_45	PREVENTS	disease_32	0.4376706802264055
trastuzumab	TREATS	disease_33	0.4370268994553187
clopidogrel	TREATS	disease_1	0.4501416535536794
epilepsy	ASSOCIATED_WITH	gene_35	0.553390749092293
phenotype_28	CO_OCCURRED_WITH	phenotype_56	0.567944948989048
vitamin D	STIMULATES	phenotype_43	0.5186920061409817
chemical_50	CAUSES	disease_74	0.40028146317962526
chemical_32	TREATS	pancreatitis	0.48292853879958103
gene_81	INTERACTS_WITH	MGST1	0.5764092876499964
PSEN1	STIMULATES	inflammation	0.6695116782721293
gene_29	REGULATES	phenotype_83	0.7038606866349046
chemical_68	CAUSES	disease_46	0.4068388402288056
disease_82	ASSOCIATED_WITH	BRCA2	0.4025710769611455
disease_38	AFFECTS	ACE	0.5081389067805984
chemical_69	INHIBITS	phenotype_53	0.5495053806168938
PTEN	STIMULATES	phenotype_11	0.5383641372885226
chemical_26	INHIBITS	phenotype_12	0.4970463642234513
disease_74	AFFECTS	CD8A	0.3966634969445328
chemical_80	AFFECTS	phenotype_43	0.4753520215346967
disease_52	ASSOCIATED_WITH	phenotype_63	0.5468333720431127
gene_48	INTERACTS_WITH	gene_52	0.589524041748357
disease_32	CAUSES	phenotype_50	0.5642158894091336
chemical_69	PRODUCES	CD8A	0.4820800625192645
phenotype_68	AFFECTS	phenotype_75	0.5212536608789591
chemical_63	TREATS	disease_66	0.41735476830777773
Raynaud phenomenon	AFFECTS	gene_7	0.5671553002232214
phenotype_47	AFFECTS	lipid peroxidation	0.6130569395674836
hypertension	AFFECTS	gene_58	0.46223726743633603
TDP43	AFFECTS	gene_72	0.5278110379281393
chemical_6	PREVENTS	disease_7	0.4048837949805039
chemical_80	REGULATES	BRCA2	0.4612377358152325
chemical_81	PRODUCES	gene_72	0.5214243248143464
diabetes	CAUSES	phenotype_1	0.6363470369501172
chemical_75	STIMULATES	CAT	0.505577252042621
chemical_61	REGULATES	SOD2	0.5661557686021177
caffeine	STIMULATES	erythropoiesis	0.5777083995836046
DNA damage	AFFECTS	phenotype_54	0.5737126772724016
gene_20	AFFECTS	gene_75	0.6524012018625656
disease_55	AFFECTS	INS	0.5671553002232214
cortisol	PREVENTS	thrombosis	0.4966870736690285
osteoblastogenesis	CO_OCCURRED_WITH	phenotype_53	0.6335187194808513
disease_29	CAUSES	phenotype_54	0.4396257254747073
KRAS	REGULATES	phenotype_36	0.5530410145037571
disease_9	ASSOCIATED_WITH	gene_0	0.5468333720431127
chemical_37	CAUSES	disease_40	0.5511011353107729
chemical_24	PRODUCES	gene_46	0.4492931772733628
GSTP1	AFFECTS	neurogenesis	0.6130569395674836
chemical_50	REGULATES	gene_78	0.5399262604053964
LRRK2	AFFECTS	ischemia	0.5081389067805984
chemical_83	TREATS	disease_16	0.4960432928979417
disease_66	ASSOCIATED_WITH	gene_71	0.4615874704037685
gastritis	AFFECTS	INS	0.5540405461248606
gene_33	AFFECTS	phenotype_54	0.46223726743633603
phenotype_49	AFFECTS	phenotype_6	0.5671553002232214
nephritis	ASSOCIATED_WITH	phenotype_18	0.5074891097480307
chemical_13	TREATS	disease_38	0.46325640765204
amlodipine	STIMULATES	necrosis	0.544921514337703
leukemia	AFFECTS	INS	0.5146962838297787
BRCA2	REGULATES	gene_4	0.5071393751594947
lupus	ASSOCIATED_WITH	phenotype_82	0.49437435564967014
vitamin B12	REGULATES	MMP9	0.5792705227004783
carcinoma	AFFECTS	leukopoiesis	0.5474831690756804
chemical_6	AFFECTS	phenotype_9	0.501581529731418
NOS3	AFFECTS	metaplasia	0.6655159559609262
chemical_44	PRODUCES	gene_44	0.632899734650412
chemical_84	INHIBITS	DNA damage	0.5757348888136152
disease_15	CAUSES	phenotype_11	0.4789699877697892
magnesium	TREATS	fibromyalgia	0.5550596863405646
phenotype_55	AFFECTS	phenotype_9	0.5868274313707623
disease_6	AFFECTS	gene_44	0.5671553002232214
gene_8	INTERACTS_WITH	gene_12	0.5632945335516357
disease_40	AFFECTS	CAT	0.5343684149773197
bronchitis	AFFECTS	gene_80	0.5146962838297786
vitamin E	REGULATES	CD4	0.6448442931922815
alkalosis	AFFECTS	phenotype_60	0.46223726743633603
phenotype_41	CO_OCCURRED_WITH	phenotype_75	0.587617080136589
gene_28	REGULATES	gene_63	0.5399262604053964
disease_81	ASSOCIATED_WITH	gene_48	0.514046486797211
disease_85	CAUSES	ischemia	0.4986421189173302
hypertrophy	CO_OCCURRED_WITH	erythropoiesis	0.6335187194808514
gene_56	AFFECTS	MAPK1	0.5540405461248606
metformin	TREATS	disease_53	0.5091580469963023
gene_5	AFFECTS	phenotype_65	0.501581529731418
chemical_63	STIMULATES	phenotype_89	0.5186920061409817
chemical_57	REGULATES	gene_45	0.4743524899135931
gene_78	INTERACTS_WITH	gene_84	0.5632945335516358
chemical_71	TREATS	neuropathy	0.5681744404389253
chemical_80	PRODUCES	gene_81	0.5476538330110677
caffeine	CAUSES	fibromyalgia	0.4920847418681499
eczema	AFFECTS	phenotype_89	0.5081389067805984
disease_5	AFFECTS	phenotype_59	0.5737126772724017
PSEN1	STIMULATES	phenotype_39	0.5711510225344243
leukemia	AFFECTS	gene_80	0.5081389067805984
chemical_42	PRODUCES	INS	0.573883341207789
SOD1	INTERACTS_WITH	gene_52	0.5960814187975374
gene_50	REGULATES	phenotype_75	0.5792705227004783
osteoporosis	AFFECTS	phenotype_7	0.5671553002232214
imatinib	REGULATES	gene_79	0.4874672440119538
chemical_34	PREVENTS	disease_59	0.39832641793132356
disease_85	AFFECTS	gene_74	0.48846677563305735
chemical_84	PREVENTS	sepsis	0.4179985490788645
chemical_81	STIMULATES	gene_50	0.5318067602393424
gene_26	AFFECTS	phenotype_44	0.501581529731418
stroke	CAUSES	thrombopoiesis	0.5970027746550352
ACE	REGULATES	phenotype_49	0.6120574079463799
disease_69	AFFECTS	gene_42	0.4360077592396147
gene_43	AFFECTS	PTEN	0.48846677563305735
chemical_18	AFFECTS	phenotype_22	0.5278110379281393
resveratrol	REGULATES	MMP9	0.6251721620447406
disease_46	ASSOCIATED_WITH	Parkin	0.5599481261414734
BRCA1	STIMULATES	phenotype_79	0.5186920061409817
gene_61	REGULATES	gene_22	0.6382869161431013
insulin resistance	AFFECTS	phenotype_43	0.5146962838297787
gene_36	INTERACTS_WITH	NFKB1	0.7009994515844228
disease_12	AFFECTS	gene_40	0.501581529731418
SNCA	REGULATES	phenotype_38	0.553041014503757
gene_5	AFFECTS	gene_81	0.560597923174041
disease_14	AFFECTS	gene_27	0.40322087399371304
disease_36	ASSOCIATED_WITH	phenotype_64	0.5861776343381947
carcinoma	AFFECTS	gene_40	0.560597923174041
disease_81	ASSOCIATED_WITH	gene_63	0.5206038638463913
IL10	STIMULATES	phenotype_39	0.564593645485244
chemical_65	PRODUCES	gene_34	0.48863743956844474
gene_56	AFFECTS	gene_18	0.5278110379281393
phenotype_8	CO_OCCURRED_WITH	platelet aggregation	0.6400760965300316
phenotype_16	AFFECTS	phenotype_81	0.481909398583877
VEGFA	INTERACTS_WITH	gene_5	0.5698519106008161
neurodifferentiation	CO_OCCURRED_WITH	phenotype_23	0.48925642439888406
chemical_66	REGULATES	gene_59	0.5399262604053964
disease_12	AFFECTS	gene_59	0.46879464448551633
trastuzumab	STIMULATES	gene_19	0.5383641372885226
chemical_58	INHIBITS	phenotype_23	0.43147259373164804
chemical_4	TREATS	arthritis	0.4107973912585974
chemical_73	STIMULATES	gene_78	0.5580362684360637
gene_62	REGULATES	BRCA1	0.6055000308971996
chemical_24	TREATS	bronchitis	0.46981378470122037
chemical_26	STIMULATES	SOD2	0.544921514337703
disease_84	ASSOCIATED_WITH	insulin resistance	0.46814484745294876
disease_40	ASSOCIATED_WITH	gene_30	0.671423535977539
gene_47	INTERACTS_WITH	FOXP3	0.5173928942073734
chemical_15	CAUSES	cardiomyopathy	0.40028146317962526
disease_24	ASSOCIATED_WITH	gene_81	0.5074891097480307
simvastatin	STIMULATES	phenotype_42	0.525249383190162
gene_14	REGULATES	gene_62	0.5989426538480193
GABA	TREATS	disease_4	0.4042400142094171
chemical_67	REGULATES	gene_58	0.5071393751594947
disease_85	AFFECTS	phenotype_57	0.5474831690756804
disease_41	AFFECTS	gene_62	0.580270054321582
chemical_26	STIMULATES	neurodifferentiation	0.466232989747539
phenotype_56	CO_OCCURRED_WITH	phenotype_40	0.5810597030874087
fibrosis	CAUSES	phenotype_23	0.6429044139992975
gene_33	AFFECTS	gene_46	0.4228930051412541
disease_20	AFFECTS	gene_67	0.47535202153469663
disease_60	CAUSES	phenotype_27	0.5445437582615926
disease_20	ASSOCIATED_WITH	gene_30	0.6189645195840964
chemical_67	CAUSES	disease_41	0.4920847418681499
TP53	REGULATES	gene_24	0.5792705227004783
phenotype_82	AFFECTS	phenotype_67	0.5474831690756804
NFKB1	AFFECTS	LRRK2	0.599942185469123
chemical_84	REGULATES	MMP9	0.572713145651298
gene_37	AFFECTS	gene_70	0.6130569395674836
fibrosis	AFFECTS	phenotype_9	0.7179749723543688
osteoblastogenesis	AFFECTS	vasoconstriction	0.5671553002232214
chemical_33	AFFECTS	phenotype_42	0.47535202153469663
cardiomyopathy	ASSOCIATED_WITH	PSEN2	0.6255218966332766
chemical_60	PREVENTS	disease_41	0.5950477294067334
osteoblastogenesis	CO_OCCURRED_WITH	phenotype_28	0.5613875719398677
gene_26	AFFECTS	phenotype_12	0.48846677563305735
gene_48	INTERACTS_WITH	gene_0	0.6223109269942587
gene_11	REGULATES	BDNF	0.5858278997496587
quercetin	INHIBITS	phenotype_80	0.5298332494693528
methotrexate	REGULATES	KRAS	0.47435248991359313
gene_20	REGULATES	APP	0.7235328177824455
Parkin	AFFECTS	erythropoiesis	0.6851880871084672
gene_70	REGULATES	gene_80	0.6186147849955602
chemical_7	STIMULATES	phenotype_10	0.5383641372885226
chemical_81	PRODUCES	gene_51	0.5214243248143464
gene_6	INTERACTS_WITH	gene_9	0.5698519106008161
chemical_62	STIMULATES	phenotype_8	0.5383641372885226
caffeine	PREVENTS	disease_34	0.4507854343247662
chemical_70	STIMULATES	phenotype_25	0.505577252042621
hypertrophy	AFFECTS	oxidative stress	0.501581529731418
chemical_37	CAUSES	disease_61	0.47241261072060886
chemical_53	AFFECTS	phenotype_70	0.4491225133379753
heparin	STIMULATES	STAT3	0.5121346290918013
fibrosis	ASSOCIATED_WITH	phenotype_47	0.6976530441742602
phenotype_52	CO_OCCURRED_WITH	methylation	0.567944948989048
chemical_84	REGULATES	gene_51	0.5071393751594947
gene_48	AFFECTS	NRF2	0.560597923174041
disease_5	ASSOCIATED_WITH	phenotype_28	0.44847271630540786
phenotype_48	CO_OCCURRED_WITH	phenotype_81	0.567944948989048
disease_41	ASSOCIATED_WITH	gene_64	0.5337186179447521
acetylcholine	PRODUCES	gene_34	0.4820800625192645
chemical_82	CAUSES	disease_31	0.4002814631796253
gene_64	REGULATES	phenotype_34	0.5989426538480193
chemical_35	PRODUCES	gene_65	0.5804407182569694
gene_79	STIMULATES	phenotype_0	0.6236100389278669
ubiquitination	CO_OCCURRED_WITH	phenotype_10	0.6663056047267529
disease_18	ASSOCIATED_WITH	phenotype_8	0.5665055031906537
phenotype_28	AFFECTS	phenotype_3	0.560597923174041
PIK3CA	REGULATES	gene_80	0.671073801389003
phenotype_53	AFFECTS	phenotype_86	0.5671553002232214
acidosis	CO_OCCURRED_WITH	neurodifferentiation	0.5417154407923267
FOXP3	REGULATES	phenotype_14	0.6317295390939209
methotrexate	PREVENTS	disease_90	0.46390018842312686
magnesium	STIMULATES	phenotype_8	0.6104952848295062
disease_23	ASSOCIATED_WITH	gene_81	0.5009317326988504
ACE	STIMULATES	phenotype_34	0.6367247930262276
disease_60	ASSOCIATED_WITH	gene_49	0.6058497654857357
PSEN1	AFFECTS	angiogenesis	0.5540405461248606
phenotype_84	AFFECTS	phenotype_78	0.5540405461248606
disease_44	AFFECTS	methylation	0.5343684149773197
phenotype_45	CO_OCCURRED_WITH	osteoclastogenesis	0.5613875719398677
disease_32	ASSOCIATED_WITH	phenotype_44	0.5074891097480307
disease_57	AFFECTS	FOXP3	0.4950241526822377
chemical_0	REGULATES	gene_15	0.5268115063070358
Parkinson disease	ASSOCIATED_WITH	gene_7	0.46158747040376846
gene_57	AFFECTS	gene_26	0.5737126772724017
atorvastatin	PREVENTS	disease_36	0.44422805727558584
gene_33	INTERACTS_WITH	NRF2	0.5370650253549145
disease_54	AFFECTS	gene_5	0.5146962838297787
